genes	logFC	logCPM	LR	PValue	FDR
ARHGAP19	0.164761423761462	9.48921706736812	201.114257716421	1.19310651721549e-45	1.77973865603118e-45
RP11-497H16.9	0.164707520627684	9.47808459537897	390.133124312355	7.74276270668918e-87	1.38627007373991e-86
RP11-40C6.2	0.16459306926508	9.47707010281825	442.458207604109	3.15826706907528e-98	5.9222092718026e-98
ZXDA	0.16450925490321	9.47908218794147	350.784075877793	2.86020073537264e-78	4.93485876276689e-78
EPHX4	0.164445115466723	9.47528846855086	643.210793625539	6.69332048730667e-142	1.44550653350885e-141
RGS4	0.164263377675208	9.47723814404716	400.520031974704	4.2435606253431e-89	7.67788042168447e-89
MYH7	0.164207047382163	9.47525621737887	648.689025594757	4.30747442703893e-143	9.32435860887734e-143
SLC13A3	0.164153097760564	9.47550083797219	593.417717279233	4.52387892502468e-131	9.42527479228178e-131
OLFML2A	0.164121209834054	9.47578768540299	551.151089958356	7.07264336805052e-122	1.43332000640806e-121
RGL1	0.164119879458684	9.51715500859356	129.073099005433	6.53661572294049e-30	8.90203803010326e-30
MAGEE1	0.16407872380242	9.47592976623482	533.754915806075	4.30578086270436e-118	8.62402547648448e-118
CCDC18-AS1	0.164051824367428	9.47690311533265	450.017565612146	7.14978229757805e-100	1.34812537453311e-99
MMP24	0.163977106271469	9.47545101311855	599.970263373153	1.69928798155131e-132	3.55452443906015e-132
PCDH9-AS1	0.163961180845183	9.47526481921616	641.169788987564	1.86006512361983e-141	4.00944611760241e-141
CTD-2035E11.4	0.163949152581518	9.47553205439787	585.699196296029	2.15973211059147e-129	4.48138051950295e-129
DNAJC12	0.163904758776713	9.50483783758558	144.113614006706	3.35545104422273e-33	4.66713393142157e-33
RPS2P7	0.163902186993259	9.4757904853513	555.49520245224	8.02732790332355e-123	1.63225704029167e-122
GPD1L	0.1638679413264	9.50386319665255	145.861820585433	1.39171175029531e-33	1.93936729124803e-33
RPL15P3	0.163859387676893	9.47928858817303	340.984851490483	3.89393205683913e-76	6.66381412147349e-76
RP11-111F5.4	0.16380717158189	9.47886169353417	354.837695140308	3.74699645845795e-79	6.49555381050147e-79
PER2	0.163790816734974	9.5147863576103	130.685409535276	2.90127226738255e-30	3.95979210343569e-30
HECW1	0.163735062586381	9.47537735850965	610.817760168758	7.42822021679664e-135	1.56530714031127e-134
CRY2	0.163719271401338	9.49809390889068	159.301376029987	1.60801940177166e-36	2.27898814117952e-36
ZNF823	0.163689296976628	9.48466310090914	238.280814920608	9.32330975374547e-54	1.44700635399395e-53
RAVER1	0.163666454943209	9.48216119020879	273.597450102538	1.86586199426113e-61	3.00317440199511e-61
AC142528.1	0.16358223875328	9.48098581556943	295.867383617353	2.61908629601938e-66	4.31004653861204e-66
DACH1	0.163491227632526	9.4756246437939	566.333108806774	3.52345355527422e-125	7.2190555393277e-125
MRPL35	0.163416403478375	9.59157973517568	119.210088126529	9.42046066189397e-28	1.26489711597154e-27
NPHP4	0.163413738880305	9.48429546459169	241.798676264885	1.59411551240254e-54	2.48326718157809e-54
BRPF1	0.163338557628129	9.5026326949909	147.364246895657	6.5328951239075e-34	9.12138297280079e-34
MORF4L1	0.163305588948132	10.1797116651459	351.0445952261	2.50995047207865e-78	4.33325436161574e-78
WFDC3	0.163216399206791	9.4760726573468	510.719052372349	4.42353707590987e-113	8.70420549549846e-113
AC073283.4	0.163114206790323	9.4754911650151	582.263632857666	1.20696909575132e-128	2.49853822642227e-128
ZUFSP	0.163100772161757	9.52948601761731	120.180327366928	5.776375705115e-28	7.76462241801831e-28
PSMD5-AS1	0.163041725611633	9.54108890506986	116.828060928303	3.13064900600942e-27	4.18875648083056e-27
C5orf15	0.16299614939675	9.66139597898149	135.296432256961	2.84378804344843e-31	3.90748578395532e-31
PPIL2	0.162946119441774	9.52764083186253	120.734908913142	4.36762950684556e-28	5.8758734855653e-28
TSHR	0.162808642872799	9.47549678936963	577.710354773277	1.18066544246938e-127	2.43549960417395e-127
ZNF749	0.162792681510333	9.48033818379669	307.378537584424	8.13392831564001e-69	1.3541868796701e-68
UGGT1	0.162775850253705	9.54058351145486	116.542340073516	3.61577040390256e-27	4.83483579302976e-27
LRRC46	0.162768271544254	9.47668844203658	455.657705158028	4.23505706659434e-101	8.01582606567006e-101
BEND3	0.162686120408139	9.47662965783185	459.282520528579	6.88695828023974e-102	1.30683574653638e-101
MTHFSD	0.162642712904755	9.49693031493995	160.694026813733	7.98020093529734e-37	1.13307741238879e-36
RP11-977G19.11	0.162630312592737	9.49127807471744	183.732118250209	7.42322393585442e-42	1.08631724853269e-41
HSP90AA2P	0.162570432228102	9.47899224172918	342.121420916148	2.20225210793564e-76	3.77145163432733e-76
RAP2A	0.16248809824318	9.59579442494996	118.597579345194	1.28285406529242e-27	1.72154981374076e-27
ZNF26	0.162454514648594	9.51003275600044	133.769417774165	6.1363992617276e-31	8.41258132583573e-31
MAPRE2	0.162453398828299	9.59783483684312	118.916338917785	1.09241100589503e-27	1.46648910949351e-27
FTH1P5	0.16239821111374	9.47582743760948	473.219647398094	6.38491229009109e-105	1.22403810318845e-104
ATG5	0.162389274712235	9.5927882721395	117.933251027403	1.79322294332881e-27	2.40328592308054e-27
U73166.2	0.162354936569603	9.4795088846816	327.373566705732	3.58785484960579e-73	6.06765885616818e-73
RPL4P4	0.162273759844655	9.47560622008836	564.242600428438	1.00396113562766e-124	2.05458361061057e-124
RGS9	0.162226861750362	9.48144943703651	281.210641607475	4.09051844220512e-63	6.63177441834996e-63
ZNF718	0.162197791972299	9.48357115328232	247.158783830682	1.08109617765762e-55	1.69459201827984e-55
METTL17	0.162108640188838	9.55302979661656	114.24538372628	1.15140801151072e-26	1.53484098080423e-26
TMEM151A	0.161972819262964	9.47651714914434	462.324511429391	1.4998235733176e-102	2.85157820504958e-102
GNB3	0.161906948208153	9.47528802484438	603.201881206709	3.36796410991881e-133	7.06255402809471e-133
IDH1	0.161904671458863	9.78419688630779	173.761515080994	1.1160028111601e-39	1.61173600174549e-39
SPTY2D1-AS1	0.161875602772979	9.47826273869018	367.17926386874	7.69771921243021e-82	1.34976569844894e-81
SMURF2	0.161804178797112	9.56042146482398	113.740364601632	1.48538350241181e-26	1.97799298754048e-26
RP11-408P14.1	0.161712311824821	9.47887628585027	344.00123239686	8.58001663645842e-77	1.47196707973741e-76
NBPF9	0.161690688435756	9.4887425521951	196.54631746799	1.18449939734898e-44	1.75837034129485e-44
VPS39	0.161660407896367	9.51978919515203	123.238389492759	1.23661798399793e-28	1.67014547382195e-28
CLPB	0.161646781488259	9.53199258400444	117.13868399847	2.67680239040667e-27	3.58349706410578e-27
ACTC1	0.161633269918274	9.47539812648886	579.550141140493	4.69822976842271e-128	9.70503289619592e-128
PRR14L	0.161526196620442	9.53386031842491	116.37269227473	3.93867829941502e-27	5.26515927502012e-27
IQCH	0.161487032227388	9.47549386422872	562.892054515643	1.97470745757376e-124	4.03778177129646e-124
E2F3	0.161379028361135	9.54492420697173	113.889379473352	1.37784673717471e-26	1.83542372703677e-26
ZNF518B	0.161305789272387	9.50387024360474	141.279329915782	1.39785662024256e-32	1.93692419972674e-32
CSGALNACT2	0.161302104193177	9.51972157130013	122.739550292685	1.59009870795196e-28	2.1454538873084e-28
RBPJ	0.16124151337201	9.8187255810348	184.957946454124	4.00847011915857e-42	5.87532910338767e-42
ABCB6	0.16123356473655	9.47537004116156	579.331401654637	5.24221249062433e-128	1.08264177372728e-127
ALDH1L1-AS2	0.161156775339869	9.47537483894024	577.589553153564	1.25430699862698e-127	2.58713337500256e-127
TMEM232	0.16113648295241	9.47755385085043	394.241444536703	9.87466286926748e-88	1.77452665271485e-87
PPP1R7	0.16098342489199	9.68693675458523	139.496347172979	3.43045989119708e-32	4.73948013492492e-32
SGF29	0.160955916307186	9.52666149303981	118.24937765814	1.52903144494014e-27	2.05020798769951e-27
MMS19	0.160930829450416	9.50571084807168	137.417453049067	9.77222496448413e-32	1.34608664388138e-31
MTRNR2L12	0.160854543090956	9.76501443937568	138.157925790365	6.73056067116435e-32	9.28363110089265e-32
AC145212.1	0.160694937037488	9.47695071450225	424.194780181271	2.98135309619412e-94	5.50364315251691e-94
ZNF546	0.160667148998505	9.49077758691501	181.813315208288	1.9476492889727e-41	2.84075565192781e-41
ULK3	0.160614848523748	9.56674132529043	112.329683784599	3.02571573995757e-26	4.02114259472753e-26
MIR124-2HG	0.160603762753542	9.47518323998684	606.444084298217	6.64005655495659e-134	1.39527609214457e-133
FNDC3B	0.160583886316191	9.59258194622721	115.317254168855	6.70627885925274e-27	8.95187037475284e-27
SNX29P2	0.160541880300214	9.47728032568857	404.580760959381	5.54337902136659e-90	1.00729155092812e-89
CACNA1E	0.160507708775582	9.47521970493291	597.380336452251	6.21725613967898e-132	1.29896603526518e-131
PKN3	0.160432100723102	9.47683998290094	429.250913036309	2.36552249369812e-95	4.38309418447852e-95
AUNIP	0.16042849650993	9.47714794148371	411.059855325919	2.15488404231119e-91	3.94116146849212e-91
TRIM71	0.16042313045987	9.47513331597274	615.26736405534	8.00008409191553e-136	1.69207018773768e-135
FNBP1	0.160260559309051	9.62949427868123	122.505278338547	1.7893856502926e-28	2.41316703249121e-28
GABRA2	0.160259135190774	9.47557773093058	538.222279745278	4.5938093679283e-119	9.22571397265916e-119
KIF26B	0.160028292482766	9.48824843379083	195.730313836784	1.78493417583564e-44	2.64666422184599e-44
FTH1P4	0.159929568899919	9.47556438486927	514.460570187224	6.78782299116239e-114	1.33972374318236e-113
SRSF2	0.159868854445111	10.0335105043395	268.584154452139	2.30934899477885e-60	3.70068878617415e-60
CSF1	0.159868460755327	9.55939760510797	111.040885364549	5.79628816221912e-26	7.69264877756084e-26
SEC22B	0.159764934200228	9.59239352347771	114.125008031137	1.22347069735441e-26	1.63045269573149e-26
LINGO3	0.159752325124864	9.47985321701651	306.532869994153	1.24316602618578e-68	2.06774541477707e-68
ZNF2	0.159721089668235	9.48511264227852	221.45343368391	4.35870302577437e-50	6.64977655101604e-50
