genes	logFC	logCPM	LR	PValue	FDR
RP11-253E3.1	0.0776167138515873	9.50769858858194	262.408887770658	5.12206705957667e-59	1.0844030613171e-58
GPN2	0.077591032338742	9.56767038819549	30.7688157144075	2.9067164761319e-08	3.81513745657095e-08
SLC25A35	0.0775751884176134	9.52314460533711	52.5716018316161	4.14844584436844e-13	5.84125660606021e-13
KIAA2012	0.0775480691871611	9.50758520309252	274.275349366963	1.32782870064871e-61	2.85843210959606e-61
MALAT1	0.0774942246164914	11.42558266904	351.215033107677	2.30435945421836e-78	5.4685231500085e-78
YOD1	0.0774578438872637	9.53067261755655	42.552317487196	6.88166861355664e-11	9.39778165968572e-11
PDPR	0.0773905395361842	9.55999717162769	31.4078454217233	2.09134146548733e-08	2.75203509958182e-08
TTK	0.0773224624528029	9.52697852182881	46.3396690490372	9.94303780339774e-12	1.37200649556339e-11
RPL31P12	0.0772575702472659	9.50850294620399	201.983389502104	7.70943090720487e-46	1.48516727794043e-45
SIX1	0.0772341069680228	9.53903841948761	36.7973261622101	1.31069889271507e-09	1.75538135105322e-09
ACVR2A	0.0772032153658132	9.53674807189626	37.9518672262748	7.25116392235711e-10	9.75339533280997e-10
RP11-894P9.1	0.0771595829746922	9.5190076339971	62.1064959887663	3.25376312521197e-15	4.71116796828183e-15
EGR1	0.0771562333895412	10.2014127393798	89.8066672400746	2.62607810232615e-21	4.0835473342972e-21
ATP10A	0.0771345378069455	9.51099354262285	122.110680719723	2.18312847923856e-28	3.62752064093152e-28
SNAP25	0.0770617889515618	9.55933579955011	31.2284417141927	2.29380664577379e-08	3.01526420990253e-08
LRP4-AS1	0.0770283645535392	9.51267594179828	98.7348485045113	2.88677194224919e-23	4.57640970525254e-23
EIF3M	0.0770281055838533	9.89147172684053	52.9055161701108	3.49985265786143e-13	4.93289842019839e-13
RPL41P2	0.0770029920103242	9.51135582714041	115.70175278127	5.52430920066357e-27	9.0594471630811e-27
RP11-728C8.1	0.0769941055740876	9.50716717007534	330.730197111584	6.66422999996142e-74	1.54324626110412e-73
TBC1D31	0.0769271015919202	9.52700776643373	45.8343817627174	1.28685020631536e-11	1.77321597437845e-11
RP11-19E11.1	0.0769267633450833	9.50910569915235	170.605087026185	5.45771417248564e-39	9.96089295590758e-39
KIF5B	0.0769189733430837	9.92497441667192	56.2710721662879	6.31375354259776e-14	8.9954332290202e-14
CYB5R1	0.0768689154790898	9.64603633891306	31.3437565484201	2.16152681991571e-08	2.84382767610281e-08
MLLT6	0.0768455808016266	9.5929480465994	29.3867693772918	5.92809852701832e-08	7.73881212603655e-08
