genes	logFC	logCPM	LR	PValue	FDR
RPS27AP1	-0.0241138215920541	9.50701804204334	63.5137188937147	1.59253860157087e-15	2.11344652072604e-15
SATL1	-0.0241267939239514	9.50676873834365	92.357289145978	7.2359005571944e-22	1.0278261952279e-21
AC142472.6	-0.0241393450237767	9.51370584713386	9.82343325258626	0.00172302410607981	0.0019058505604922
TEX26-AS1	-0.0241417298140967	9.50675025954991	98.3167644339897	3.56534779130547e-23	5.1249292411523e-23
RPS11P7	-0.0241432659880588	9.50683848670049	80.6241488100222	2.73002731189454e-19	3.77231844099714e-19
KISS1	-0.0241585624074787	9.50685885777854	78.254326693318	9.05924497848342e-19	1.24563833968091e-18
FAM71F1	-0.0241733496582165	9.50675183947758	98.4466364552045	3.33902329272776e-23	4.800647179577e-23
HAND2-AS1	-0.0241776905541255	9.50727117763483	50.6592387426999	1.0987800428383e-12	1.4128392258522e-12
COL19A1	-0.0241941649592048	9.50684532649616	80.2570383846269	3.28739416639501e-19	4.53774250049434e-19
PRDM13	-0.0242431113117478	9.50683225031259	82.5584175311501	1.02592796051628e-19	1.42525499827305e-19
AC137934.1	-0.024244366180407	9.51128858568987	13.651277237479	0.00022009155669379	0.000248627047083572
C5orf64	-0.0242462948464646	9.50684365930299	81.0219590827665	2.23223408901765e-19	3.08877455373831e-19
IL18R1	-0.0242523262922036	9.50829819423166	28.9315358880967	7.49821529906945e-08	9.03006961082037e-08
RTBDN	-0.0242605782805927	9.50677543319572	92.8992187521562	5.50262207997055e-22	7.82910702819035e-22
AOC3	-0.0242635447184315	9.50679481312958	88.8840810519532	4.18638710356084e-21	5.8946801384418e-21
RPL21P132	-0.0242827987255838	9.50682624463825	83.8761627837525	5.2675855700502e-20	7.33588537709489e-20
RP11-6K23.1	-0.0242883809097737	9.50679603935025	88.983456314365	3.98128117901873e-21	5.60786806054671e-21
RP11-25I15.1	-0.024305380247766	9.50680814188946	87.0339082998512	1.06676468464396e-20	1.49570114868701e-20
MARCH4	-0.0243154736623171	9.50677817545947	93.1216072562984	4.91779072198438e-22	7.00052429534146e-22
CCK	-0.0243204325118484	9.50834702649439	28.5982137751043	8.90643041256108e-08	1.07149248895934e-07
DPPA4	-0.0243252564113695	9.50697097409655	68.582483693931	1.2168012987993e-16	1.63569740457626e-16
RAD21-AS1	-0.0243633444268622	9.50711872775286	58.8904134609825	1.66702434147915e-14	2.18801078757295e-14
H3F3BP1	-0.0243727131979711	9.50684997651284	81.5104849662625	1.74334215026715e-19	2.41633065632e-19
CASC6	-0.0244002798124186	9.50678242140599	93.4652181620154	4.13401830755018e-22	5.88988553357662e-22
HIST1H1A	-0.0244004867827015	9.50996386445609	17.8403318357759	2.40236760128981e-05	2.77077065200767e-05
