genes	logFC	logCPM	LR	PValue	FDR
PRKXP1	0.00721855861218214	9.50562464945596	14.143826953385	0.000169351878270478	0.000235549830407319
F2RL3	0.00716199348048372	9.50568957562835	9.16606966436564	0.00246543487274882	0.00322443011032674
PLEKHG7	0.00716078984355573	9.50572841937767	7.7061696845542	0.00550324010012204	0.00703382764551628
CDH17	0.00709823123994351	9.50566772900178	10.1495867227813	0.00144333596192211	0.0019128827572269
ABCC11	0.00697925736192417	9.50573631065432	7.14677024729008	0.00750991079625257	0.00952074025830487
OR7E14P	0.00697064142181456	9.50563340386901	12.4091185594513	0.000427242481894828	0.000583212433332087
APOBEC2	0.00693608401313093	9.50564116348611	11.6011336806389	0.000659116282485902	0.000890304884631835
EP300-AS1	0.00689329077612256	9.50571576377709	7.61017592405864	0.00580398211153449	0.00741105487324605
AGAP7P	0.00686708316816111	9.50564519814907	11.0853124936711	0.000870141582008678	0.00116716700139949
LINC00485	0.006845821838081	9.5056336883717	12.5777646297345	0.000390363357494827	0.000533935078186019
WBSCR28	0.00684579681487365	9.50570807187271	7.7797553564813	0.0052834951780639	0.00676254673980862
DSCAM-AS1	0.00677895929055856	9.50558871649582	20.0743128544109	7.44904766972613e-06	1.10318383934282e-05
PON1	0.00664404095356119	9.50569429533775	7.88626579266435	0.00498116035599259	0.00638545958443073
RP11-540K16.1	0.00662049126524022	9.50567008839663	8.90885237749274	0.00283791555550271	0.003695266545012
SLC28A3	0.00652901263898222	9.50565928601683	9.28190954225704	0.00231428044687386	0.00302993656395464
FMR1-AS1	0.006477484182427	9.50570403723487	7.2103039027009	0.00724862197683574	0.00919830247402568
XDH	0.00617480018106224	9.50561214475223	12.3548730094427	0.000439836907266792	0.000599785842351858
TMPRSS11B	0.00610027556316079	9.50560409995203	22.5153468496779	2.0847140420517e-06	3.15328488848057e-06
PCDHA6	0.00608866101137273	9.50562906107914	10.2854667018358	0.00134082101683711	0.00178141880595642
TEX101	0.00598419792390683	9.50560957364394	12.0686477126073	0.000512768814071553	0.000697036875672363
ANKRD20A11P	0.00588163868292655	9.50564116455744	8.82368305232026	0.00297345907224497	0.00386668516451013
LGALS7	0.00585149549127721	9.50567125622679	7.1853268926161	0.00735021600454531	0.00932424180354182
TBC1D3P1-DHX40P1	0.00581360681633322	9.50566499326642	7.37561982439024	0.00661140001501228	0.00841173509602332
TPTE2P6	0.0057928411034595	9.50558468213774	16.6611314291172	4.46872988449315e-05	6.39107585728636e-05
GUSBP4	0.0057484701444035	9.50562335063747	9.83434097160034	0.00171283639123272	0.00226084835360691
RP4-569M23.5	0.00565474254321962	9.50559275042124	13.755970179613	0.000208158181619379	0.00028833300221798
PCDH9-AS2	0.00558571759680408	9.5055967860212	12.6726233272753	0.000371048563745339	0.000508041659300324
VWA2	0.0055469468110615	9.50563424492315	8.48207957808739	0.00358661873503606	0.00463760316957627
LIN28A	0.00548664543159051	9.5056309129761	8.52223161553397	0.0035083401780945	0.00454023184813325
DDX4	0.00540342232740339	9.50564352326241	7.5259532912545	0.00608163638708795	0.00775511204695931
RP11-383C5.3	0.00538335701019613	9.50558300732083	15.2610605990549	9.36268613930955e-05	0.000131944472091037
KIAA0087	0.00537862171493299	9.50560888937251	10.2063015939687	0.00139961574343808	0.00185667512871001
HTATSF1P2	0.00528099694452931	9.50562571268714	8.33730430422475	0.00388391838814364	0.00501385444994309
FOXD4L5	0.00524526774437791	9.5055910762262	12.4870978966536	0.000409772275673696	0.000559980730347805
MKNK1-AS1	0.00521834516132042	9.50561825532964	8.79638730382274	0.00301827637201646	0.00392368020905048
GCSHP3	0.00520583342976168	9.50560386522037	10.2669423912172	0.00135435071737821	0.00179891273763787
VWA5B1	0.00519282840979792	9.50557791119894	16.4097703388999	5.10215612712944e-05	7.28020092101115e-05
CECR3	0.00509882159528704	9.50562061685213	8.22142069354817	0.00413987773616503	0.00533144908560884
TBC1D26	0.00507215087152839	9.50558598143921	12.8825995175965	0.000331651257021088	0.000455134767984136
GSTT2	0.00503352690159793	9.50562906028674	7.50091105094856	0.00616677895343084	0.00786014825762236
PLA2G10	0.00503352675147768	9.50562906135679	7.50095670507773	0.00616662262953698	0.00786014825762236
SH3GL1P1	0.00499315714419324	9.50563142055103	7.25350266706224	0.00707628498751678	0.0089859311856835
BNC1	0.00498448375315357	9.5055991440269	10.5793235958747	0.00114359494377385	0.00152469083388348
SRGAP2D	0.00496913953118603	9.50560721440993	9.13450774766412	0.00250832938591935	0.00327880147864378
SH2D7	0.00496450597661795	9.50563309485501	7.08453973425091	0.00777517865911816	0.00984257580369776
C1orf146	0.00490472113034762	9.50558536730438	12.4035556370424	0.000428517127854505	0.000584859857297323
SPANXA2-OT1	0.0049000929853495	9.50561124756588	8.52752986720188	0.00349814148969803	0.00452821445819647
RAB41	0.00480602674759475	9.50558064675549	13.3070964639282	0.000264403489313435	0.000364613385388248
IMPG1	0.00460015989224898	9.50561254705316	7.5746030444497	0.00591964151572392	0.00755290851144822
SPDYE8P	0.00455852442064895	9.50559511046418	9.30018983852669	0.00229130113663952	0.00300044500626913
GUCY1B2	0.00446084695903552	9.50560082023677	8.28258634229044	0.00400270748741629	0.00516048965314963
ABCG5	0.00437980699809108	9.50560924027197	7.32588839297478	0.00679683597550363	0.00864046630639826
LY6D	0.00432723437971315	9.50558300725784	10.5783980966229	0.00114416760297768	0.00152535186619432
PPIAL4D	0.00432279770644894	9.50560888934822	7.11894079460103	0.00762737561520974	0.00966165059241494
TEX38	0.00432279731140751	9.50560888921597	7.11893781124749	0.00762738830776651	0.00966165059241494
GGT8P	0.00406749096437026	9.50558194659621	9.77055669416383	0.00177328752216169	0.00233815257688602
SNORA8	0.0040674861131396	9.50558194615038	9.77059958402592	0.00177324615549767	0.00233815257688602
SLC38A8	0.00405109416284137	9.50559914584428	7.22962846333542	0.00717100465904097	0.00910213598980912
TECRL	0.00390112402235026	9.50558833978742	8.23502428256514	0.00410896226839482	0.00529335257370678
DDX11L10	0.00381856769984988	9.5055766133887	10.0329415462694	0.00153765284974997	0.00203516496144555
ROPN1	0.00381856709496608	9.50557661341089	10.0330086011306	0.00153759687494211	0.00203516496144555
KLRC4-KLRK1	0.00370913096981348	9.50558300750074	8.20350800823603	0.00418094747185416	0.00538224448186285
KCNA4	0.003680482966383	9.5055846826209	7.82780067361571	0.00514486638404062	0.00659063560026063
QRFPR	0.00368048295192145	9.50558468261995	7.8278010138288	0.00514486541563823	0.00659063560026063
GNRHR	0.00333947970801266	9.50557897285329	7.55884886672526	0.00597161234152911	0.00761677024321507
GJB3	-0.00632706234118	9.50592284268489	8.57709157857278	0.00340418687543503	0.00440946949707201
PGA5	-0.0065568795687419	9.50593632588435	8.88940625125679	0.0028682999223011	0.00373360551271197
LINC00671	-0.00656855962037406	9.50593701073225	8.90528208371518	0.00284346950149591	0.00370225548843419
ESRG	-0.0066512607498511	9.50595889728961	9.11319550610017	0.00253772167838888	0.00331591177568548
UNQ6494	-0.00750208343745507	9.50599180480226	10.1744228827938	0.00142402264209531	0.00188804284571194
SCN4A	-0.00759928769317232	9.50599751329639	10.3066175638317	0.00132554013863318	0.00176170621880215
TMPRSS11F	-0.0076679733768368	9.50600154358413	10.4000439087793	0.00126012317302808	0.00167644780067439
KRT16	-0.00778523558542974	9.50607225929411	7.27119127012782	0.00700693148738599	0.00890013926543179
C22orf15	-0.00799908105373381	9.50608319947827	7.839544633375	0.00511154812342246	0.0065496453940406
OBP2A	-0.00802331639591125	9.50602228314514	10.8797611777131	0.000972207818662602	0.00130073345364444
DLGAP2	-0.00875910755423114	9.50619011165616	7.28278579313701	0.00696184878562133	0.0088457060813656
CRYBA4	-0.00890782902101581	9.5061988628178	7.44747436119883	0.0063525526449384	0.00809018061576755
KLK1	-0.00903324630521757	9.50620624304028	7.58676766054009	0.00587982802930744	0.00750548760214123
MYO18B	-0.00907984697302107	9.50614673974005	9.1540727941333	0.00248165092831421	0.00324469108586798
NMUR1	-0.00929839960765125	9.50622184871657	7.88246532741141	0.00499163876419303	0.00639847882922392
TMEM61	-0.00955182042340693	9.50623676513722	8.16655977044775	0.00426697629663814	0.00549014297521547
HSF5	-0.0095813712132221	9.50623850544403	8.19976305528121	0.00418958607959003	0.00539266566197814
CIRBP-AS1	-0.00960808080994888	9.50630233957777	7.15858265597422	0.00746061258883756	0.00946065925525478
CLEC2L	-0.00979571320940008	9.50612657422744	13.29614727841	0.000265952055331427	0.000366697908594524
MGC45922	-0.0100182647940084	9.5061396608947	13.5993162898417	0.000226267918784958	0.000312806690258678
PCP2	-0.0100355148980803	9.50632752222774	7.60353186762882	0.00582540774975957	0.00743793457814268
RP11-484O2.1	-0.0105150667551755	9.50644857389327	7.4651329692781	0.00629053848902616	0.00801326024839171
MUCL1	-0.0105506479438269	9.50617097548031	14.3247366802473	0.00015383014475615	0.000214306219773992
LINC01609	-0.0105694832674713	9.50620637960421	14.3747846751966	0.000149794837983201	0.000208816402885979
BCL2L2-PABPN1	-0.0109382404528657	9.50619377341573	14.8530546335885	0.000116219698281148	0.000162927572502065
LINC00520	-0.0113643633946128	9.50640585659983	9.01493318804228	0.00267782677329992	0.0034934603520742
GPA33	-0.011603493130566	9.50641996300623	9.27305513966712	0.00232549482026852	0.00304441799305387
PSG11	-0.0118061050543168	9.50630714899032	12.5281083059961	0.000400875460039341	0.000547898094674345
SPATC1	-0.0118317934729066	9.50630873186002	12.5716439516525	0.000391643913481501	0.000535612788174798
DMBX1	-0.0119769684174571	9.5065043433382	8.70976625992444	0.00316509787481582	0.00410943040618462
