genes	logFC	logCPM	LR	PValue	FDR
CTD-2366F13.1	-0.0609404639712791	9.5121658154495	98.2568062979499	3.67495092174518e-23	5.36405544159423e-23
FAM19A1	-0.0609550037457103	9.50854615853441	264.210290534968	2.07396346475048e-59	3.87572044519042e-59
IL34	-0.0609602601737462	9.50844695511728	283.114765523806	1.57343179995559e-63	3.00659231400005e-63
FTLP2	-0.0609704765353913	9.50981933450361	120.406941301807	5.15281209924215e-28	7.84964422025928e-28
NKD2	-0.0609889934939553	9.50840565751554	293.085011418115	1.0577238363825e-65	2.04816611751413e-65
DND1	-0.0609953383584305	9.51301774355673	87.431548413042	8.72476680152507e-21	1.24501525254633e-20
GPC3	-0.0610078370431763	9.50853406829845	266.584689503436	6.29910070020725e-60	1.18036773694971e-59
LINC01063	-0.061009763676711	9.51237098813637	95.5487760281158	1.44292031112727e-22	2.0941124842976e-22
RP11-637A17.2	-0.0610461991113426	9.51093181603881	122.162586279803	2.12675428059844e-28	3.25056360398259e-28
RP11-589P10.5	-0.0610649767570826	9.51448967239268	74.0865287528432	7.47668198704323e-18	1.03658273315754e-17
SYTL5	-0.0611977134993147	9.50906879974718	205.865026337508	1.09658352105134e-46	1.90336595765868e-46
TMEM31	-0.0612081768454969	9.5085010208529	275.750975816974	6.33223497355357e-62	1.1989144305551e-61
RP11-797H7.5	-0.0612294309437392	9.50912576274112	201.500859857037	9.82464014283867e-46	1.69712321631908e-45
ADAMTS14	-0.061269718294463	9.50926509105602	191.490023071664	1.50348017367113e-43	2.56036675135345e-43
BCL2L2	-0.061276688515756	9.5302781070886	34.4295012826115	4.41973114435085e-09	5.53526146851815e-09
B3GALT5-AS1	-0.0613008964538678	9.50846267812969	284.908032725991	6.39857552699426e-64	1.22503064589353e-63
C11orf97	-0.0613690124641167	9.50839476219151	302.576924145811	9.04386886895027e-68	1.76780292801778e-67
RP5-1120P11.1	-0.0614303504274283	9.50891636643265	221.84575009845	3.57919943245222e-50	6.35022350364814e-50
MNT	-0.0614660124235767	9.55328406730427	25.5487492757893	4.31345568239547e-07	5.23405687987927e-07
ETNPPL	-0.0614839367722453	9.50909496735024	206.087639018057	9.80549506219928e-47	1.70240960457078e-46
RP11-314A20.2	-0.0614965400377749	9.50938337355672	185.29598638163	3.38206442763062e-42	5.71052443722777e-42
RP11-783K16.5	-0.0615194252089036	9.51362726690575	82.6243249234613	9.92283884699645e-20	1.40077173140246e-19
USP38	-0.061565152889421	9.56990410629405	23.8297969159175	1.05240655147683e-06	1.26910293661293e-06
COX7A2P2	-0.0616532014352176	9.50932276232144	190.413229957359	2.58304738378767e-43	4.39241984864785e-43
FAM110D	-0.0616698247971998	9.50919847255257	199.420646904405	2.79422005394775e-45	4.81629870870647e-45
HIST1H2AM	-0.0616892768317651	9.510362708717	141.485338702651	1.26013277427761e-32	1.99196522012282e-32
PTGES3L	-0.0617220261316188	9.50913576487862	204.73313767235	1.93648457473605e-46	3.35709195906727e-46
SLCO4A1	-0.0617377357915226	9.53114356280939	34.2503665496843	4.84584162513007e-09	6.06432941838471e-09
AUH	-0.0617824686453098	9.54937025433505	26.5691734048887	2.54268658593253e-07	3.09729000598926e-07
RPL14P1	-0.0617983338720668	9.51953539437219	51.1099102977914	8.7336247368854e-13	1.14722027649041e-12
FOXL2	-0.0618279909161076	9.50861492169188	263.987603147963	2.31920313833176e-59	4.33156524791651e-59
TICRR	-0.0618320787331272	9.51043558146602	139.810817276129	2.92808598241558e-32	4.61463002850441e-32
TKFC	-0.0618568371562911	9.5543995868912	25.6889235883646	4.01122720470789e-07	4.87060060926479e-07
PRDM11	-0.0618588347994635	9.51305220291334	89.6558041908866	2.83416088672607e-21	4.06272030042894e-21
ZNF695	-0.0618739869485345	9.50881842767091	236.764395549054	1.99632526076231e-53	3.61392409482035e-53
HEPH	-0.0618765542987456	9.5097821474878	165.801558693286	6.11242785974915e-38	1.00571556130565e-37
ENTPD4	-0.0618908066620199	9.55877929086156	25.094306583931	5.45938090343916e-07	6.61403846496126e-07
CTD-3185P2.1	-0.0618909113547853	9.51408427548779	79.4915843409162	4.84283738151307e-19	6.78818053307002e-19
ZBED4	-0.0619042312563209	9.53345961438889	32.7844532291565	1.02965052432629e-08	1.28184805913744e-08
HOTAIRM1	-0.061922350459124	9.59114703505487	23.4696919208363	1.26897164080132e-06	1.5284955168482e-06
UFM1	-0.0619251980103016	9.73249063574746	29.7561364521389	4.89952967011451e-08	6.02813444659266e-08
ANKRD36B	-0.0619259649252117	9.53398079548235	32.4771022701862	1.20605200198857e-08	1.49995113324577e-08
RP11-778D9.4	-0.0619271616785194	9.50898391711988	219.813191110752	9.93416685387268e-50	1.75749481875091e-49
PAQR9	-0.061956652339176	9.50843607939518	301.877425046234	1.28454069487801e-67	2.50866512958169e-67
NRL	-0.0619761565080801	9.51487287708139	73.5561976808804	9.7811331108701e-18	1.35427924649145e-17
ACBD4	-0.0619801303262676	9.52743461590268	37.9964030894007	7.08751740001328e-10	8.9755021601138e-10
MANEA-AS1	-0.0619829791202388	9.52066683158577	49.2667098882448	2.23422043374905e-12	2.92068808332024e-12
C16orf62	-0.062129414859539	9.58671730012007	23.6671466647967	1.14520959770784e-06	1.38042755346199e-06
CYP20A1	-0.0621620168874793	9.6279242572367	24.3232328131853	8.14507205487721e-07	9.84251994795756e-07
PCAT1	-0.0622465616585723	9.50927622579779	198.186002108846	5.19631715434872e-45	8.94272980833377e-45
ZNF556	-0.0622512029699071	9.51211439675607	103.612909576972	2.45969240479071e-24	3.63000779613994e-24
XXbac-BPG252P9.9	-0.0622979702466698	9.51372544299926	83.8695643194697	5.28519646763504e-20	7.48381105012629e-20
INPP5A	-0.0623083470324392	9.51461570354786	76.277081097458	2.46528555425106e-18	3.42966199486753e-18
RP11-348P10.2	-0.0623235033927808	9.51042442864723	142.66579669308	6.95510107698262e-33	1.10171465423744e-32
PPP1R14BP3	-0.0623236556486646	9.50851183148827	292.019385706219	1.80532593200725e-65	3.491387420684e-65
BOLA2	-0.0623327269376845	9.51206771116437	104.652612318665	1.45540508809568e-24	2.15268501293114e-24
CDH3	-0.0623414318869549	9.50888030636833	234.43492591525	6.42981378284101e-53	1.16038319659782e-52
KCTD21-AS1	-0.0623610013699966	9.51218787165838	102.846298880093	3.62185424871511e-24	5.33758264987359e-24
RP11-563N4.1	-0.0623700090281616	9.51245557389023	98.9051148978797	2.64894334304059e-23	3.87216287175354e-23
FTH1P23	-0.0623959057802485	9.50952430267491	185.671369777418	2.80048698738656e-42	4.72975372069847e-42
SPNS2	-0.0624268608120995	9.53643929518618	31.5946534595751	1.89951845987834e-08	2.35517506194811e-08
PHF8	-0.0624600931617125	9.5386293814667	30.5706013362724	3.2193515428232e-08	3.97274865841549e-08
