genes	logFC	logCPM	LR	PValue	FDR
HIST1H3D	0.0808026134170576	9.50980110863202	82.4855012206954	1.06448101881764e-19	1.87886342921233e-19
ARFGAP3	0.0807381149879748	9.65300211531184	19.0984159895597	1.24147883039811e-05	1.65552753465075e-05
HSP90AA1	0.0806170430095869	10.7392936564478	105.56084227781	9.20284248165412e-25	1.74358550568796e-24
SLITRK6	0.0805539951056038	9.50611044119707	365.070161067268	2.21611392449994e-81	7.05573133998635e-81
ZNF333	0.0804861123854717	9.55393391074233	18.9746686969665	1.32465448269986e-05	1.7649018038952e-05
GIGYF1	0.0804844880723789	9.57857015783459	17.638113876259	2.67179812060224e-05	3.52709338860747e-05
TMEM217	0.0803899807392372	9.51334011871708	52.4744715920733	4.35877595674701e-13	6.89951233667075e-13
UNC5A	0.080368171688685	9.5081863357983	115.523817743623	6.04289067810659e-27	1.17911221174852e-26
SNAI2	0.080324048393559	9.52763621709288	26.3966549139041	2.78021549053118e-07	3.89014572125928e-07
CAPS2	0.0802794777925426	9.51816254559581	37.3318707829367	9.9642850676337e-10	1.47833106609653e-09
SMURF1	0.0802735234347765	9.53624675008188	22.3081057838426	2.32224294806379e-06	3.16478151834456e-06
TM7SF3	0.0801189662763221	9.66587438222935	19.2968323239475	1.11891827638494e-05	1.49409916238484e-05
ABCA12	0.0801138049294061	9.50668832501913	207.37941135149	5.12413662030652e-47	1.23068566843954e-46
ACRC	0.0800970238887464	9.51123544388334	65.5605549974316	5.63554875279835e-16	9.38139492120622e-16
COX18	0.0800964643078645	9.54530115355214	19.9936577056942	7.7699452517407e-06	1.04292874387333e-05
BEND4	0.0800649069376809	9.5062216869585	305.488003918514	2.09969200830568e-68	6.06530155448279e-68
LARS	0.07990873836573	9.73783605345498	22.4718862160953	2.13241851057143e-06	2.90928255415327e-06
PTCD2	0.0798072873011722	9.53229428196233	23.5516937690372	1.21602333345265e-06	1.67051710426137e-06
PSMG2	0.079800217317605	9.80210884687819	25.8000489979167	3.78678857259588e-07	5.27476872684982e-07
MED26	0.0797392906688235	9.54651988945529	19.6069828209002	9.5120916935256e-06	1.27272479394025e-05
GANAB	0.0796964216373217	9.67515153473839	19.4662582731689	1.02392540981054e-05	1.368635701658e-05
ABLIM3	0.0796888053716543	9.51817760301183	36.7692986142884	1.32967812794602e-09	1.96613659267471e-09
ZNF586	0.0795126226802454	9.53046350621949	24.2428128256252	8.49233872452808e-07	1.1720738405148e-06
CDS2	0.0795048503835201	9.63985130343301	18.0635575891065	2.13651803426151e-05	2.82836056453161e-05
YDJC	0.0794140900328382	9.5819789899642	17.1173628834949	3.51395876403745e-05	4.61979555862855e-05
MTRNR2L10	0.0793598075123976	9.51401080865356	48.2391597651313	3.77278133155902e-12	5.87080861378153e-12
PLAGL2	0.0793210462978143	9.54167143177968	20.3275614941012	6.52538241263846e-06	8.7789459856333e-06
LL0XNC01-237H1.2	0.0792919413196859	9.51140520982819	62.950879135311	2.11926440975157e-15	3.49100838283253e-15
STARD9	0.0792466675529386	9.52354666223313	28.961144196488	7.384475302747e-08	1.05081062380931e-07
MEIOB	0.0790974758975036	9.50667534025994	204.412888805771	2.27453114541458e-46	5.43063805776357e-46
LINC00320	0.0790683584117964	9.5105466445583	70.3589742297554	4.94374384849534e-17	8.3723061352334e-17
NBPF15	0.079054602031042	9.51981887642872	33.3784519520523	7.58598353319178e-09	1.1044275006733e-08
RP11-85A1.3	0.0790312745509863	9.50997142406738	76.9133964288812	1.7862138164883e-18	3.10145847516925e-18
AC097724.3	0.0790081908155657	9.51176529535061	59.8478245882579	1.02482564311916e-14	1.67001144208777e-14
INTU	0.078924444612558	9.54564373159819	19.353812056157	1.08602228118458e-05	1.45085617802729e-05
PKN3	0.078903505579203	9.51265576890873	54.1318726148093	1.87475464836132e-13	2.98876548278518e-13
ZXDC	0.0788885143106575	9.54683624905056	19.1401403577038	1.21463315415639e-05	1.61994616608629e-05
TIAM1	0.078875198066233	9.58123837658941	16.8936847466175	3.95328920508298e-05	5.18501844594508e-05
MYL5	0.0788377439675032	9.54919965115399	18.7674641838385	1.47664884205682e-05	1.96424678085542e-05
FBXW5	0.0788296207241795	9.68370426673478	19.3926026417175	1.06418469268323e-05	1.42187396703983e-05
RP11-53O19.1	0.0787353498853833	9.51815488557301	35.9609880676799	2.01307927273028e-09	2.96450492692911e-09
NT5C	0.0786669180088573	9.74860025907873	22.2982264985767	2.33422087952601e-06	3.18045005950658e-06
PEX2	0.0786632511109349	9.65969488022496	18.3616166028805	1.82701632911806e-05	2.42332398425122e-05
DNAH6	0.0786437674603235	9.51589955256084	41.0909009165935	1.45311248218745e-10	2.19526385648169e-10
OXNAD1	0.0786407223905678	9.54122106406537	20.0808508567934	7.4236257614813e-06	9.97252955085488e-06
SHROOM2	0.078636566271772	9.53603899449474	21.4777687335518	3.57954554940235e-06	4.8512680139664e-06
PTGES3L	0.0784925588160979	9.50913576487862	88.5569450875873	4.93923428797651e-21	8.88390776146424e-21
LSM10	0.0784436201993865	9.78229080349302	23.8759837823163	1.02745605220686e-06	1.41431082073665e-06
HES7	0.0784417093139093	9.51078773790419	66.9552555445371	2.7773998211216e-16	4.6441307202714e-16
HEATR5B	0.0784201086477658	9.55030920394883	18.4235566632779	1.76858036131206e-05	2.34754116306572e-05
CARD19	0.0783663012320947	9.69163761184849	19.4962457511283	1.0079759503695e-05	1.34777059168242e-05
CCDC40	0.0783563158634944	9.5280716952648	24.8618488153916	6.158931515881e-07	8.53052845270106e-07
SGK494	0.0783521859980499	9.52598613046844	26.2628614950954	2.97963815378559e-07	4.16536540895453e-07
RPS8	0.0783492902878268	10.8137931093964	108.002623186891	2.68422680791658e-25	5.12028194940204e-25
